cpf|nome|endereco|dia|mes|ano|telefone|cidade
62155112181|Jose Del Nero|Rua Tres|22|07|1983|55454675678|Londrina
25044509744|Tiana Rossi|Av. Campina Grande|05|03|1983|86454675678|Sao Paulo
57075800183|Bastos Azevedo|R. Numero Vinte|09|07|1980|11454675678|Teresina
76718486205|Franco Avelar|Rua Tres|11|08|1956|55454675678|Sao Paulo
48458576856|Bastos Jaca|Avenida das Torres|05|06|1988|67454675678|Porto Alegre
01992621950|Luis Azevedo|Avenida Numero Dois|10|02|1988|15454675678|Manaus
01504535669|Luis Aragao|A. Da Cidade|17|12|1956|55454675678|Recife
78898274823|Luis Hilder|Rua Numero Um|26|01|1983|13454675678|Sao Paulo
77690044972|Chico Silva|A. Da Cidade|19|01|1970|55454675678|Campinas
64612996100|Tiana Jaca|Avenida Sete|14|09|1983|73454675678|Recife
85467978381|Nair Souza|A. Da Cidade|10|07|1948|15454675678|Londrina
16653866068|Zenaide Frade|Rua Numero Um|22|04|1956|21454675678|Porto Alegre
60312553595|Chico Rossi|Rua Numero Um|09|03|1956|55454675678|Campinas
81384299840|Gustavo Elgam|Rua Carlos Silva|14|07|1983|11454675678|Teresina
45977974833|Franco Azevedo|Rua Recife|11|07|1976|55454675678|Cuiaba
89580502846|Maria Rossi|Rua Recife|23|10|1976|55454675678|Cuiaba
00244832900|Gustavo Rossi|Rua Joao Santos|10|05|1948|65454675678|Rio de Janeiro
72827530406|Maria Aragao|Avenida Sete|10|03|1980|15454675678|Recife
05501251329|Maria Zani|Avenida das Torres|11|01|1983|11454675678|Teresina
45977813074|Franco Azevedo|Rua Joao Santos|07|06|1980|67454675678|Cuiaba
19476141697|Jose Silva|Avenida Sete|10|06|1954|21454675678|Teresina
62184454028|Paulo Hilder|Rua Tres|05|02|1998|13454675678|Teresina
14888220859|Tiana Rossi|R. Numero Vinte|10|06|1998|22454675678|Campinas
63545454647|Ana Silva|A. Da Cidade|17|08|1954|86454675678|Recife
44839953830|Gustavo Frade|Av. Movimentada|23|03|1980|13454675678|Sao Paulo
63545454647|Ana Souza|Rua Joao Santos|14|06|1970|72454675678|Curitiba
34862533604|Ana Elgam|Avenida Numero Dois|26|07|1998|85454675678|Cuiaba
34848675316|Luis Hilder|Avenida das Torres|10|12|1954|15454675678|Sao Luis
93221459947|Nair Santos|Av. Movimentada|01|06|1983|85454675678|Florianopolis
63545454647|Ana Elgam|A. Da Cidade|01|02|1980|85454675678|Sao Paulo
89450013870|Jose Del Nero|Avenida Sete|24|01|1988|11454675678|Aracaju
52887255193|Bastos Zani|Av. Campina Grande|19|03|1983|85454675678|Londrina
64538573590|Franco Inacio|Rua Sem Carros|19|11|1998|85454675678|Teresina
86868768768|Tiana Hilder|R. Onze Mil|24|07|1976|22454675678|Florianopolis
50773854320|Tiana Aragao|Rua Carlos Silva|19|09|1948|22454675678|Sao Luis
72120558833|Paulo Souza|Av. Movimentada|07|11|1976|11454675678|Aracaju
94847576567|Tiana Santos|Avenida das Torres|24|04|1954|65454675678|Londrina
38218418342|Luis Avelar|Rua Carlos Silva|07|07|1954|71454675678|Porto Alegre
70422948233|Tiana Rossi|Rua Carlos Silva|22|06|1983|72454675678|Teresina
70276928725|Zenaide Jaca|R. Numero Vinte|01|07|1998|85454675678|Sao Paulo
86868768768|Chico Avelar|R. Numero Vinte|23|02|1956|11454675678|Sao Paulo
90806788488|Jose Del Nero|Rua Recife|09|11|1970|86454675678|Teresina
63545454647|Nair Hilder|Av. Movimentada|10|10|1976|23454675678|Aracaju
38302063304|Chico Del Nero|Av. Campina Grande|26|03|1980|21454675678|Curitiba
54588809199|Zenaide Elgam|Rua Tres|19|07|1976|15454675678|Manaus
13043438558|Maria Santos|Rua Joao Santos|14|11|1970|23454675678|Sao Luis
12478666375|Paulo Inacio|R. Numero Vinte|23|07|1956|21454675678|Londrina
79162917544|Bastos Inacio|Avenida das Torres|26|04|1988|55454675678|Porto Alegre
70044937253|Maria Jaca|Rua Sem Carros|11|01|1988|13454675678|Rio de Janeiro
55434571975|Nair Rossi|Avenida Sete|23|06|1988|11454675678|Curitiba
68264496920|Franco Elgam|Rua Carlos Silva|05|12|1983|65454675678|Florianopolis
63545454647|Paulo Del Nero|Rua Recife|01|03|1970|21454675678|Londrina
11304472515|Maria Hilder|Rua Joao Santos|18|09|1970|72454675678|Rio de Janeiro
86868768768|Maria Gomes|Rua Joao Santos|23|04|1954|65454675678|Londrina
86868686700|Chico Avelar|Avenida Numero Dois|07|04|1998|23454675678|Curitiba
62420873408|Franco Silva|Rua Sem Carros|05|11|1983|21454675678|Porto Alegre
45766691769|Ana Gomes|Avenida das Torres|14|06|1976|11454675678|Teresina
08314586234|Maria Hilder|Rua Joao Santos|10|01|1976|73454675678|Sao Paulo
67409773561|Luis Elgam|Rua Carlos Silva|18|11|1988|67454675678|Porto Alegre
21797050184|Bastos Jaca|Avenida Sete|23|07|1983|71454675678|Campinas
86868686700|Zenaide Avelar|Avenida Numero Dois|01|12|1956|71454675678|Aracaju
94847576567|Tiana Elgam|Rua Recife|26|08|1998|67454675678|Sao Luis
72286815410|Nair Jaca|Rua Sem Carros|10|09|1976|85454675678|Cuiaba
11430854502|Chico Aragao|Rua Sem Carros|17|09|1970|67454675678|Aracaju
18266176710|Bastos Aragao|Av. Movimentada|23|02|1983|22454675678|Sao Luis
94847576567|Gustavo Azevedo|Rua Recife|22|12|1954|13454675678|Aracaju
32747186962|Paulo Silva|Avenida das Torres|10|10|1983|65454675678|Manaus
30164163107|Ana Inacio|Av. Campina Grande|14|02|1956|86454675678|Londrina
23112773675|Luis Zani|Av. Movimentada|01|02|1983|73454675678|Campinas
24448442624|Chico Hilder|R. Onze Mil|10|11|1998|23454675678|Curitiba
27756883900|Paulo Aragao|Rua Carlos Silva|07|12|1956|67454675678|Manaus
42547434830|Nair Souza|Avenida Numero Dois|17|08|1988|21454675678|Rio de Janeiro
54733793979|Paulo Silva|R. Numero Vinte|17|06|1998|15454675678|Porto Alegre
23217198000|Franco Santos|R. Numero Vinte|19|03|1980|15454675678|Londrina
74345257549|Luis Jaca|A. Da Cidade|09|07|1998|71454675678|Campinas
05642374184|Paulo Azevedo|Rua Numero Um|26|02|1980|71454675678|Florianopolis
33860069659|Paulo Souza|Rua Joao Santos|07|02|1956|55454675678|Aracaju
86868768768|Gustavo Gomes|Rua Sem Carros|19|09|1954|11454675678|Teresina
63545454647|Jose Avelar|Avenida Numero Dois|23|11|1980|11454675678|Recife
10674314034|Ana Aragao|Rua Tres|17|07|1983|67454675678|Sao Paulo
31874302529|Luis Zani|Rua Sem Carros|10|10|1956|23454675678|Florianopolis
51763735303|Maria Santos|Av. Movimentada|10|09|1988|21454675678|Manaus
63545454647|Zenaide Azevedo|R. Numero Vinte|26|10|1970|73454675678|Manaus
51645175405|Maria Silva|Rua Recife|14|12|1976|65454675678|Manaus
53146549620|Tiana Del Nero|Rua Tres|10|01|1948|85454675678|Rio de Janeiro
31182846769|Gustavo Del Nero|Rua Tres|09|06|1983|15454675678|Teresina
63545454647|Gustavo Del Nero|Rua Carlos Silva|01|07|1956|85454675678|Recife
86868768768|Nair Silva|R. Numero Vinte|10|04|1948|65454675678|Porto Alegre
03593892790|Jose Rossi|Avenida Sete|14|04|1976|21454675678|Londrina
77788888887|Nair Hilder|Rua Sem Carros|26|03|1954|15454675678|Campinas
66086628408|Chico Gomes|Av. Campina Grande|17|10|1980|23454675678|Rio de Janeiro
94847576567|Ana Del Nero|Rua Tres|17|02|1956|13454675678|Recife
86868686700|Bastos Inacio|Avenida Sete|17|06|1954|85454675678|Campinas
63545454647|Franco Souza|Rua Carlos Silva|19|07|1948|72454675678|Recife
13762641455|Tiana Hilder|Rua Tres|05|04|1956|13454675678|Teresina
65141360288|Paulo Zani|A. Da Cidade|24|12|1983|55454675678|Florianopolis
86868768768|Ana Avelar|Avenida das Torres|14|09|1956|13454675678|Londrina
14632142190|Franco Del Nero|Av. Campina Grande|23|05|1983|85454675678|Florianopolis
23278000641|Paulo Inacio|Rua Tres|05|05|1998|67454675678|Porto Alegre
65265308938|Ana Hilder|Rua Joao Santos|26|02|1980|67454675678|Rio de Janeiro
67030380070|Maria Silva|Rua Sem Carros|10|10|1980|72454675678|Cuiaba
94994769621|Chico Avelar|R. Numero Vinte|05|06|1988|65454675678|Aracaju
94847576567|Bastos Rossi|Rua Tres|19|06|1970|21454675678|Campinas
40884244253|Gustavo Frade|Rua Carlos Silva|10|03|1998|71454675678|Londrina
26093560309|Franco Zani|Av. Movimentada|09|02|1983|86454675678|Manaus
16129725604|Luis Aragao|Avenida Numero Dois|24|09|1980|22454675678|Cuiaba
43034337566|Jose Elgam|Av. Movimentada|10|12|1980|22454675678|Campinas
20878853707|Chico Jaca|A. Da Cidade|10|12|1998|23454675678|Manaus
12887559109|Tiana Souza|Rua Joao Santos|10|01|1948|73454675678|Londrina
70912878193|Paulo Avelar|R. Numero Vinte|10|12|1956|73454675678|Porto Alegre
51321850026|Zenaide Rossi|R. Onze Mil|05|12|1948|73454675678|Cuiaba
76353817509|Tiana Jaca|Rua Sem Carros|10|02|1998|13454675678|Sao Paulo
36713072429|Maria Inacio|A. Da Cidade|11|09|1980|86454675678|Campinas
48728993772|Gustavo Avelar|R. Onze Mil|24|12|1998|85454675678|Curitiba
60616394578|Tiana Inacio|Rua Carlos Silva|24|01|1983|13454675678|Recife
25441619147|Franco Santos|R. Numero Vinte|24|09|1956|13454675678|Porto Alegre
86868686700|Zenaide Rossi|R. Numero Vinte|07|08|1976|86454675678|Aracaju
94847576567|Paulo Rossi|Avenida Sete|22|03|1998|73454675678|Florianopolis
65891486270|Bastos Inacio|Rua Joao Santos|19|01|1970|67454675678|Curitiba
09078559896|Nair Hilder|Rua Carlos Silva|19|05|1988|23454675678|Sao Paulo
59000705576|Gustavo Frade|Avenida Numero Dois|23|06|1956|11454675678|Recife
92934644464|Paulo Silva|Rua Carlos Silva|18|07|1983|21454675678|Recife
63545454647|Paulo Souza|R. Numero Vinte|11|09|1970|15454675678|Teresina
78666780142|Luis Gomes|R. Onze Mil|17|08|1980|73454675678|Campinas
91196420327|Luis Silva|Av. Movimentada|23|03|1956|55454675678|Londrina
26720818678|Luis Frade|Rua Numero Um|18|04|1998|71454675678|Florianopolis
53303008787|Gustavo Aragao|Rua Recife|19|03|1948|11454675678|Sao Luis
37887336910|Nair Azevedo|Avenida das Torres|07|09|1948|73454675678|Campinas
77788888887|Maria Jaca|Rua Carlos Silva|17|06|1956|71454675678|Recife
00809276020|Zenaide Avelar|Rua Numero Um|26|09|1980|15454675678|Rio de Janeiro
02255983966|Franco Azevedo|R. Onze Mil|09|07|1970|55454675678|Recife
08310018797|Maria Inacio|Rua Carlos Silva|24|10|1988|21454675678|Porto Alegre
07116429824|Tiana Souza|Rua Sem Carros|09|12|1998|67454675678|Aracaju
85190738167|Tiana Azevedo|Av. Campina Grande|01|04|1988|65454675678|Cuiaba
93075952915|Gustavo Aragao|Rua Recife|26|03|1976|67454675678|Cuiaba
73771645492|Chico Souza|R. Numero Vinte|14|06|1983|73454675678|Rio de Janeiro
72672391106|Bastos Elgam|Avenida Sete|10|05|1956|72454675678|Campinas
17339888071|Luis Elgam|Rua Sem Carros|23|08|1956|65454675678|Aracaju
16008393473|Ana Rossi|Rua Tres|10|12|1954|22454675678|Aracaju
80039677400|Jose Souza|R. Numero Vinte|14|03|1988|72454675678|Florianopolis
81571874003|Zenaide Souza|Rua Joao Santos|14|07|1954|86454675678|Rio de Janeiro
14339910201|Nair Aragao|Rua Sem Carros|22|02|1948|13454675678|Cuiaba
33578529850|Zenaide Aragao|Avenida Numero Dois|09|02|1956|85454675678|Teresina
11268367451|Gustavo Hilder|Rua Carlos Silva|24|10|1956|15454675678|Sao Luis
83110253399|Tiana Azevedo|Av. Movimentada|01|12|1954|71454675678|Sao Luis
61871861845|Tiana Azevedo|Rua Carlos Silva|10|12|1983|73454675678|Sao Luis
78677668128|Chico Elgam|A. Da Cidade|05|08|1956|13454675678|Recife
95711785354|Chico Aragao|Avenida Sete|01|11|1948|21454675678|Campinas
75548827081|Tiana Elgam|R. Numero Vinte|01|08|1954|15454675678|Aracaju
86868768768|Chico Souza|R. Onze Mil|26|05|1998|13454675678|Campinas
86868768768|Zenaide Inacio|Rua Recife|19|05|1976|15454675678|Porto Alegre
24740380196|Zenaide Santos|Rua Tres|10|10|1956|55454675678|Rio de Janeiro
24973601896|Luis Santos|Rua Carlos Silva|19|06|1970|65454675678|Teresina
75604254533|Ana Santos|Avenida Numero Dois|09|02|1988|22454675678|Manaus
62661148108|Franco Aragao|Rua Tres|11|10|1983|72454675678|Aracaju
32777544131|Luis Souza|Avenida Numero Dois|22|10|1988|55454675678|Florianopolis
02105491146|Paulo Avelar|Avenida Numero Dois|19|12|1976|73454675678|Porto Alegre
09944519898|Paulo Del Nero|Av. Movimentada|01|07|1956|71454675678|Manaus
63159303950|Nair Zani|Avenida das Torres|23|11|1998|21454675678|Teresina
29473335946|Paulo Del Nero|Avenida das Torres|10|01|1988|86454675678|Cuiaba
05027561601|Nair Jaca|R. Numero Vinte|23|05|1988|15454675678|Florianopolis
22867959594|Maria Hilder|Av. Movimentada|23|12|1988|13454675678|Teresina
33095032838|Jose Hilder|Rua Recife|09|03|1988|67454675678|Cuiaba
77788888887|Luis Zani|R. Onze Mil|10|12|1976|65454675678|Manaus
77183838579|Franco Aragao|Av. Campina Grande|17|06|1976|21454675678|Londrina
74115854758|Bastos Avelar|R. Numero Vinte|10|11|1983|22454675678|Londrina
31305367871|Jose Rossi|A. Da Cidade|26|04|1998|22454675678|Recife
69950382823|Paulo Souza|Rua Carlos Silva|24|08|1970|22454675678|Aracaju
77788888887|Bastos Zani|Rua Recife|11|05|1980|21454675678|Cuiaba
77266144396|Gustavo Azevedo|Avenida Sete|23|06|1954|15454675678|Cuiaba
72058559851|Maria Azevedo|Avenida Numero Dois|17|04|1954|11454675678|Porto Alegre
44552115944|Gustavo Zani|Rua Recife|11|02|1976|86454675678|Londrina
21120739900|Franco Avelar|Rua Joao Santos|10|04|1956|23454675678|Sao Luis
94847576567|Franco Rossi|Avenida Numero Dois|14|07|1980|73454675678|Cuiaba
77066128214|Chico Rossi|Avenida das Torres|23|08|1954|21454675678|Curitiba
86336276473|Paulo Jaca|Rua Carlos Silva|23|05|1956|67454675678|Teresina
21910659290|Paulo Souza|Rua Sem Carros|05|03|1988|73454675678|Recife
69280107976|Nair Jaca|Avenida Numero Dois|10|09|1970|23454675678|Sao Paulo
86262542450|Nair Frade|Rua Carlos Silva|17|12|1983|65454675678|Sao Paulo
02418129330|Bastos Inacio|Avenida Sete|10|04|1976|11454675678|Aracaju
77788888887|Franco Inacio|Rua Carlos Silva|10|03|1983|23454675678|Florianopolis
33939873993|Bastos Frade|Rua Numero Um|11|04|1954|73454675678|Cuiaba
05804982397|Jose Zani|Rua Tres|10|12|1954|72454675678|Sao Luis
96044243605|Luis Rossi|Rua Numero Um|10|08|1956|23454675678|Londrina
86868686700|Paulo Azevedo|A. Da Cidade|17|04|1976|21454675678|Curitiba
71315018080|Gustavo Elgam|Rua Numero Um|18|05|1976|85454675678|Cuiaba
59576912407|Paulo Zani|Avenida Numero Dois|01|11|1948|11454675678|Cuiaba
77788888887|Maria Inacio|Av. Campina Grande|24|04|1970|86454675678|Londrina
12461783543|Paulo Rossi|A. Da Cidade|10|01|1970|85454675678|Manaus
51897790171|Franco Avelar|Avenida das Torres|10|02|1948|65454675678|Sao Luis
77788888887|Bastos Rossi|Av. Campina Grande|11|10|1983|21454675678|Campinas
65775200977|Maria Rossi|Rua Recife|24|01|1976|13454675678|Sao Paulo
79636025401|Jose Avelar|Rua Tres|26|02|1983|67454675678|Florianopolis
53869615001|Nair Souza|A. Da Cidade|22|07|1976|65454675678|Campinas
63545454647|Ana Del Nero|R. Onze Mil|24|10|1998|85454675678|Sao Luis
53494093440|Nair Inacio|Avenida Sete|19|08|1988|71454675678|Londrina
13761057806|Luis Zani|Rua Recife|24|05|1948|67454675678|Sao Luis
18853597720|Zenaide Rossi|Rua Carlos Silva|26|11|1976|65454675678|Cuiaba
27019524923|Chico Rossi|Rua Recife|09|07|1983|15454675678|Sao Paulo
42987395540|Gustavo Aragao|A. Da Cidade|24|08|1983|22454675678|Teresina
31095049879|Jose Frade|A. Da Cidade|19|09|1948|13454675678|Recife
77788888887|Ana Del Nero|Avenida Numero Dois|22|09|1998|86454675678|Londrina
81385518871|Maria Elgam|Rua Joao Santos|01|01|1976|67454675678|Sao Paulo
98867053299|Gustavo Del Nero|Rua Numero Um|11|09|1976|86454675678|Manaus
56287736895|Luis Aragao|Av. Movimentada|24|01|1980|86454675678|Florianopolis
66423879451|Jose Aragao|R. Onze Mil|10|05|1948|73454675678|Recife
80859773116|Paulo Santos|Av. Campina Grande|10|06|1983|15454675678|Sao Luis
76511028941|Ana Azevedo|R. Numero Vinte|09|03|1948|72454675678|Porto Alegre
77788888887|Bastos Inacio|Avenida Numero Dois|10|04|1956|86454675678|Porto Alegre
05143700760|Franco Gomes|Rua Numero Um|23|12|1988|67454675678|Aracaju
49744745703|Nair Zani|R. Onze Mil|10|07|1948|22454675678|Sao Luis
85262119867|Nair Hilder|Rua Sem Carros|05|12|1998|73454675678|Sao Paulo
33839810450|Gustavo Santos|Rua Joao Santos|18|09|1998|55454675678|Londrina
62338716701|Paulo Zani|R. Onze Mil|07|10|1983|23454675678|Sao Paulo
25601552142|Zenaide Santos|Rua Recife|01|11|1956|22454675678|Recife
94847576567|Jose Elgam|Avenida das Torres|11|11|1998|86454675678|Rio de Janeiro
94847576567|Franco Gomes|R. Onze Mil|05|06|1988|65454675678|Sao Luis
86940903763|Paulo Jaca|R. Numero Vinte|10|09|1988|67454675678|Campinas
55088536186|Nair Rossi|Rua Sem Carros|23|11|1980|72454675678|Campinas
98501753386|Gustavo Souza|Rua Carlos Silva|09|01|1954|71454675678|Londrina
99170281106|Maria Santos|A. Da Cidade|09|04|1998|85454675678|Sao Paulo
80937184004|Luis Rossi|Rua Carlos Silva|10|03|1976|71454675678|Londrina
27732111117|Nair Azevedo|Rua Joao Santos|01|03|1956|11454675678|Manaus
15170088329|Jose Frade|Avenida Sete|05|03|1983|21454675678|Sao Paulo
86868686700|Paulo Silva|Rua Recife|24|03|1980|23454675678|Curitiba
64404150857|Ana Frade|R. Onze Mil|26|11|1954|65454675678|Teresina
94474625960|Maria Del Nero|R. Onze Mil|22|01|1954|11454675678|Florianopolis
92624748490|Bastos Elgam|Rua Tres|19|10|1988|15454675678|Teresina
86868768768|Tiana Zani|A. Da Cidade|01|03|1954|71454675678|Londrina
77788888887|Tiana Souza|R. Onze Mil|17|06|1983|21454675678|Londrina
59429299719|Paulo Inacio|Rua Joao Santos|19|06|1983|55454675678|Florianopolis
89858971109|Jose Inacio|Rua Numero Um|23|08|1980|85454675678|Aracaju
